"Category","Albania","Argentina","Armenia","Australia","Austria","Belgium","Benin","Bhutan","Bolivia","Brazil","Bulgaria","Burkina Faso","Burundi","Cabo Verde","Cameroon","Canada","Central African Republic","Chile","Colombia","Costa Rica","Côte d'Ivoire","Czechia","Denmark","Dominican Republic","DR Congo","Ecuador","El Salvador","Equatorial Guinea","Estonia","Eswatini","Ethiopia","Finland","France","Gabon","Germany","Ghana","Greece","Guatemala","Guinea","Honduras","Hungary","Iceland","India","Indonesia","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Latvia","Lesotho","Liberia","Lithuania","Luxembourg","Madagascar","Mali","Mauritania","Mauritius","Mexico","Mongolia","Morocco","Netherlands","New Zealand","Nicaragua","Niger","Nigeria","North Macedonia","Norway","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Romania","Russian Federation","Rwanda","Senegal","Seychelles","Sierra Leone","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","Sweden","Switzerland","Tanzania","Tonga","Turkey","Uganda","Ukraine","United Kingdom","United States","Uruguay"
2003,,3.0964655581988647,,3.557509465509784,3.76041024225512,3.393732596968004,,0.3866127885658699,,1.3945527819203118,,,,,,5.962143853357239,,3.7151255492654895,,,,,,,,,,,,,,,4.553343104368143,,1.327970114801907,,,,,,,1.270131385495927,,,,5.002810955483435,,,,,,,,,,,,,,,,5.303829931082336,,2.6105255555867632,2.492931105087656,,,,,,,0.44326332235308463,,,,1.9875694949217138,,,,,,,,,,,,,,,4.437492053757735,,6.990068613489669,,1.57114929162592,,,,,5.424736703842575,6.445041782122044,
2004,,2.9065373278986537,,3.457147920260383,3.922045983461797,5.382207640026059,,2.0213990654838487,,1.2366827368152222,,,,3.0749578795520387,,6.647900399032743,,3.697321209938728,0.7129714314979747,,,,,,,,,,,,,,4.694839262449972,,1.3261771071025108,,,,,,,0.980090084612761,,,7.974795339949763,4.513967655925859,,,,,,,,,,,,,,,,4.611745996146515,,2.835991103781647,2.181240387994393,,6.044755911311381,,,,,0.3256778182958262,,0.029598956736711944,,,,,,,,,,,,,,,,,4.413541655758361,,5.059377638957109,,1.86245312187811,,,,1.9046604283668573,5.610417014558318,5.973547802350307,
2005,,2.9332687097817884,,5.139307287683202,3.735117583390731,5.534044560131985,,5.681336642653913,2.6973410884918967,1.441467089165108,,,,2.8071155238390704,,6.575102526044782,,4.109905174694061,3.267072438209593,,,,,,,3.1976004047510056,,,,,,,3.174227452135157,,1.3279241766817342,0.5024524141655045,,7.694461871633653,,,,0.940900483310251,4.295698588470311,,8.994549640558187,3.809639841429015,,,,,,,,1.7032747183321,,,,,,,,5.514156640680144,,2.6829705195315112,2.059602492725317,,6.3590383542736175,,,,,0.3446506771820522,,0.15157944625694386,,2.091565127467289,,,,,,,,,,,,,,,4.4436522288611595,,3.9688307080301235,,2.36744500074531,3.400769625246542,,,1.828232757448204,5.9179923046000145,5.961471637992331,4.044733319760716
2006,,2.845514381557975,,9.481433626782641,3.5213423740964256,5.4040189367054765,,0.5451386869034079,2.393294676723201,1.763869420905185,,,,2.5670057578043095,,6.953962314579717,,3.81172899574089,3.463154115664708,,,,2.097416570565787,,,1.2942609290201266,,,,,,,3.3989665341016635,,1.2858251713103384,0.0535019446550417,,7.7405589469748195,,,,0.9349606761740047,4.812902210302639,,9.406542788713665,3.9481959423260613,,,,,,,,2.158997381219608,,,,,,,2.8174767801857525,4.724184314839517,,3.509475152260009,1.8205581767730847,,6.635672091418569,,,,,0.26666958773928456,,0.11081161480897991,,2.077738776308529,,,,,,,,,,,,,3.445960639338914,,4.8161273933573705,,5.3855788728469065,,3.26650067314455,1.7356155025553661,,,1.67607534963488,5.245729982593558,6.28604519855804,3.938930552300603
2007,,2.8232079847866443,,9.56934836072826,3.221376303798175,5.115987866090555,,3.3908110177698747,1.643254472910134,1.938776880629058,0.7415216011346625,,,3.4014626067850546,,7.156484920705349,,4.605494026048649,3.027542204776595,,,,,,,1.3838613550815564,,,,,,,2.7558515679729716,,1.2863519499045448,0.8005855884576617,,7.852380031247669,,,,0.9770359421752767,4.8067109276151,,9.765319161883122,4.295643592082427,,6.5698461663535195,,,,,,0.0606157281863136,,,,,,,2.72676440278828,5.051453918957448,,3.8132478394890144,1.8117802865125894,,7.909748083242058,,,,,1.9856520486513443,,0.0943187040700961,,2.060269696239831,,,,,,,,,,,,,3.0925782483259074,,4.804455436338954,,6.172371004855013,,3.0932578578416,1.6630070234113699,1.3464323052244314,,1.8005408325855476,6.2088882277228405,5.864634912551172,4.054658064602595
2008,,2.6536575059044156,,10.247947947136845,3.3561182181493887,5.245032118640919,1.73819272394069,0.100271322401793,1.6221187465822653,2.4456866439320875,0.552683971699409,,,2.2179987824615037,,6.056824216675515,,5.005953170723675,3.166818450794662,,,,,6.083766640186807,,,,,,,,,3.141318423192361,,1.2636594084216268,1.2348964142632115,,7.783722657238336,,,,0.9736857004460159,5.062983342983915,,10.208190525939862,4.476800511192646,0.15466813213653252,8.072832158998406,,,,,,,,,,,,,1.456528990364415,5.472451907704885,,3.7717637968140427,1.7985222451243674,,8.740112513821222,,,,,0.8146160681014778,,0.1458920855547093,,2.055515807385483,,,,,,,,4.973511931817434,,,,,3.192865702600564,,4.769289976026102,,3.4657484064766644,,2.4491040671856,1.3153465648854958,,,1.9356007414144645,6.361136629626367,6.568756656605156,5.220800606590301
2009,,2.5811660596571793,,8.573488173133276,3.4998125286414585,6.03712983055448,1.92880630118436,,1.4233489694151669,3.058964092240114,0.5307638280427972,,1.116055965519283,2.2255830555126224,,6.440403988977489,,4.811440632830051,3.213643450418087,,0.152876800118392,,,6.035465772678052,,4.149664107485603,,,2.5225712130593885,,,10.652170324682112,3.622406296154768,,1.3599611772534637,1.036849088570904,,5.92955524291502,,,,0.8995382411352755,6.507781155109047,,11.162042456076366,4.3507567865678025,0.4347697906496077,7.004869898246536,,,,,,,,,,,,,1.3746908718244009,3.0968061525509016,,3.87450349573738,2.2977008587771,1.9597730789066512,6.64733309240422,,,,,0.9037094535507499,,0.30733214319182806,,2.0338092999354935,,1.8828961465857186,,,,,,3.916748564293328,,,,,3.349554188996429,,5.7493491190663235,,7.297743006192443,,1.9660299113963056,1.5025927914110409,,,2.389566609500475,5.323181639124055,7.503344538315291,5.0475448168355435
2010,,2.6508367493892466,,8.474347203349373,3.130819170184218,6.525997394832352,1.1105755645889785,0.170532348524319,1.1099828831703853,2.9305152955981315,0.623777319504528,,1.367154588898166,3.476751654410438,,5.4437141742444695,,4.676872997717552,3.2607065397198833,4.823266678483652,0.156660272579672,,,5.27888261395724,0.408686592843064,,,,2.118580803325745,,,11.125580010949118,3.5371800590390285,,1.1193265013961569,0.7012040375998438,,6.320623282343725,,,,0.9071547975276167,6.1976691006819005,,12.84787180174545,3.6689026780703657,0.41312683084256,6.09710352365586,,,,,,,,,,,,,1.050681556191288,3.1249971944535453,,3.551127673892208,2.436532657891979,2.096055126944886,5.742543557173639,,,,5.163638215860519,1.0066660406715657,,0.2717832318331953,,2.148385095677346,,2.1494913051892395,8.131016474492107,,,,,2.871391304889208,,0.674898645756363,2.032326328293418,,3.087836716632558,,4.425681684705092,,6.506640399823144,,1.562615000732676,1.5030665254237279,,,2.7357248490343977,,7.570278914491342,5.599112830467235
2011,,2.8719489928403603,,7.856728834941523,4.195995859787375,6.381960938617903,0.919889928506694,4.064853087379648,0.9919871023629632,2.652486824064638,0.6829428835146326,,3.242213298332274,3.4722560233633457,,5.263125260701444,,5.021970488598891,6.30690023940991,4.82353861742278,0.0804382989399171,11.01272179444258,,4.902063604815834,0.3641204750805877,4.603504168926674,,,1.730561991581343,,,11.160971322942663,3.396085251922635,,0.9820831910185772,0.8785860561747879,,6.771412923211787,,,,0.8824879179154795,5.261984952491488,,21.499964900786168,4.110533630568062,15.144752116742279,6.164558716853388,,,,,,,,,,,,,1.1561429560830743,3.3771211230650255,,3.987064629297005,2.4306575291492862,2.0396189754040073,,4.8957811981435,,,4.295274472612902,0.9586713823917565,,0.14618615215046163,,1.90384882454244,,1.998747803865195,6.539046883518089,,,,,3.1921236453032615,,1.122416263603645,1.6652955613210856,,3.220898917503595,,3.7943680905467394,,5.0266771461757385,,1.898874341504343,2.4036023715415062,,,,,7.622630705287406,5.649124550350777
2012,,2.953301843315256,,7.257240541753572,4.372781677875306,6.490229286581194,0.8726563468535633,2.757619115200645,1.1597401070775948,3.031874384662995,0.6843201157601627,,3.852320523024179,3.4239979115536263,,5.443137040280208,,4.452350760100215,6.351011540746698,4.924134851914733,0.273990282336936,10.599597447730572,,4.982460331430582,0.085396489291541,4.6704009098663635,,,1.6586892692925619,,,11.179285405174173,3.349722328609723,,0.9790885248541278,0.9289793765767891,,6.950142604310137,,,,0.932927225823235,5.365874531501877,,12.776243298945527,3.99035940462265,8.577292287423976,4.8824165036944605,,,,,,0.141630901287554,,,,,,,1.8796837419148773,3.3137960115718035,,4.274656467122153,2.4217187418640482,1.8103264644593664,,3.8931178369790373,,,3.552333089972778,1.0272112338812263,4.843927776403667,0.1261170648156495,,1.973314632693619,,1.9521879465825664,4.540911338999324,,,,,3.189983692952803,,0.7801543583813679,1.862858812656302,,3.3657052414831647,,3.6953447774221724,,5.267305888984764,,2.898337398434716,,,,3.35989408895569,,7.363272941677647,6.077454889444881
2013,,3.0462606047844742,,7.6644365501010965,4.284523478744092,6.294010782015013,,3.4486977647897983,1.2148346046371126,3.188823841890457,0.7029155560978583,,3.575436646006556,2.11451767139595,,5.544591930608494,,4.4400128515148,7.064766073886733,5.023520203464175,1.3382388675724481,10.135053260950901,,5.618382529764065,0.5026056152341646,4.651645117208031,3.0320936995134384,,1.6756685756317973,1.3024882025635875,,11.671830110463448,3.19206117542592,,0.9750122743509777,1.117510626769106,,2.8248414411946077,,,2.2548011087150877,0.9037890515950563,5.040554518975352,,14.099717386578359,4.187010332689905,9.77166169586111,4.925508553871935,,,,,6.507939277612979,0.5573798097162581,,7.702739726027394,,,,6.240808527292404,1.9498622786971973,3.1147532221470664,1.8759541119824141,3.706888007100828,2.853755622949354,1.6806560540279796,,,,,4.603830719012773,1.0700391773178692,4.382017543859646,0.15089948450367774,1.2751003454466707,1.9946274204623486,1.218250259945779,2.06103648464827,5.3702226497431,,2.789148429527156,,,5.7093505026641145,,0.677733379993226,1.2358527314000187,,3.4775620201244064,,3.8208820502768672,,5.285311052222663,,2.07682262405244,3.6491677336747776,,,3.2414987166299456,6.506341485334262,7.538247334051057,5.852758052294017
2014,,3.0655097723528377,,7.595091948541025,4.220672017673937,6.392563876365096,1.3824556553539826,2.5980718305803077,1.4575621480324912,4.321901659954321,0.5892546831972344,,3.93798875526882,2.9455567354761794,,5.952879843601182,,4.280852272481253,7.092916259231199,4.74754963424951,1.3712223223038247,10.183166619494349,,6.225650876551351,0.4086696957433893,4.000560328726185,3.0702181148143226,,1.747373637264619,13.137914608076015,,11.529891685234677,3.521260413904743,,0.9446156970153339,0.7810563541847619,,2.7405072449019445,,,2.2903178713207244,0.9457619969708001,4.411175525105948,,12.634350153729267,4.01864188293835,9.376563005020245,4.402221933977559,,11.314272609127752,,,9.922164817481157,2.486275368666964,,7.997594379595968,,,3.067518394818578,,1.2249470236850313,2.641858328981814,3.2428948973624707,3.6751547479078788,14.230448507951628,1.6060160738600513,,,,,5.025862722211497,0.9062222064178254,4.244105686985429,0.8195658259088767,1.4118477649960954,2.1782196095775554,0.9556807273206368,2.125505481405297,4.827088991150632,,2.7733147778720144,2.1487991901809442,,6.01634366713589,1.764992114025352,2.244391115694739,1.1657794676806088,0.23701971621406215,4.131998370714916,,3.7164925980468126,,5.194440896329079,,2.220365806981982,3.1869510664993705,,,2.790021844343829,7.037804413288173,7.373876608349948,5.719141769084947
2015,0.5212203678849792,3.2173634693663256,6.746926320923623,8.332622263396557,4.249874371494388,6.176847492656444,1.40902340174554,3.3454686183444897,1.3696383386469384,4.710592559362485,0.5847497213580725,1.0861412892352156,2.5249800964795623,2.382224210612547,,5.985962902674786,,4.407638769042244,7.3098866521435,4.596268218926738,1.5103863044397237,10.344339275908142,,6.282281963776568,0.6591687437452909,4.720072514855473,3.80324393506272,1.4501534164419576,1.6038879799826782,1.7967021222966255,,11.578399602620815,3.7692808049380684,,0.9094964608846797,1.418781348011906,,2.7080889080159,,,2.2775079134598517,0.7949888569141218,4.0252052190443255,,10.544335733419464,4.252783897542285,9.681900009665561,4.435561072013882,,10.86232069204658,,,10.780424249826948,1.48127814852559,4.2820877590673545,2.519305949767043,1.5096224023354956,1.541677278964649,2.625951679679078,,,2.865624853611141,2.837101232419842,3.2142314894478496,14.07983675551588,1.5564414203158905,,,,,4.663488225808369,2.4232609967853342,4.042557124898317,6.374960923859724,,2.2929076873592793,0.748725193916306,2.054338713348992,5.1166407083222385,,3.855997078364451,2.3080163225711736,,6.180432310525134,2.451053447273718,2.571214781798891,1.2583667636144815,0.2288111600133841,4.2930160893656115,2.082025106566843,3.778708042947689,,4.851577408126329,,1.7244554490622912,,3.3610868929024127,,2.7836112523534804,7.205778166739596,7.469736762746532,6.067420779678165
2016,0.7173616737488281,3.291048181046088,7.52850142778487,9.066577372035503,4.14280441153442,6.192221613196357,2.4480651073269537,3.214595239704622,1.2322359753211696,4.322728576371001,0.6748460817188932,1.2178816836125035,1.836138015866534,4.591210143441383,,6.230437315481302,,3.439057823385978,7.960367360783902,5.039731484834962,1.158131528183882,10.186579999041037,,6.255803216824527,0.6251232987284141,4.5637595309091665,3.7204860299698232,1.1151241438172623,1.5821895946377276,2.7368437932017464,,11.550768212285877,3.7341605009556287,1.2553816682750514,0.8876653247159253,1.723728062972795,4.600787869396282,2.413722991860785,2.2109782080883695,,2.658191274198208,0.6726750157241475,1.8652918754105312,1.5672089580093609,13.33667494053543,4.172693618377503,10.369392023776536,3.2845233903848983,,11.50861460245728,,,10.984660883280764,1.262300862262397,2.8044812768569662,2.739778863461043,1.5473782054787033,1.3502613926487854,2.3531164886494476,3.276912382411198,1.500061826503973,3.330125698865223,3.7936137146465763,3.199372304412621,14.232208680331532,1.3412138611338063,,,,,4.592806866293391,1.3571295249186837,3.581543137390348,1.3989467142286054,,2.1282616260604907,1.1800111020209638,2.107159147620861,5.114000750710492,,4.426094050570091,19.199368081470656,,5.883866878375974,2.017638457528043,2.0362450398805736,1.453573014854661,0.21066686447592878,4.480048450812787,2.071759978791111,3.0972563384328096,,4.2692801634416995,,1.01542395860761,,3.867539823952242,,1.3312893548522877,7.821187039720061,8.284244949346764,5.935757179754514
2017,1.224712217457196,3.1659158853811276,6.547877703077902,8.912937581648698,4.038273573743507,6.070198960529017,2.1159297578007106,2.756966678390971,,4.296958265881909,0.6216280042991833,1.059975361692301,2.877694665993322,4.586850147605106,2.220072291355781,6.568549592645189,,3.051492125657894,7.762882005931752,5.109135633515944,1.1510595389552545,10.036824412903027,2.3199237560192616,5.831828246543206,2.043354586680498,4.7052734524814,3.4986688328996363,0.6343660185135516,1.6070081314443796,1.8583138049719703,5.665417751078962,11.742325486851582,3.969154289495217,1.2183544486317452,0.8772155859454084,1.277425108017657,4.356183170384754,1.8605544265132024,2.8840968495021744,6.808574851445424,2.2549647073936696,3.3144710745052954,1.7677196776602049,1.6860996237795756,14.831386206850391,4.876915199495846,3.1398430256997907,3.771436863796353,,10.394489795918371,,5.352983281572993,9.65073065796306,,2.878440779610195,2.960313180054877,1.552434259161474,1.8987152610668019,2.6716040859713686,4.609232685304223,1.3768186771245057,3.7204010910829948,3.224244597480074,2.685762664032733,14.107778136032726,1.2578647061285415,,,,2.986526582819127,4.596615687230096,1.3023853356291293,3.6695979293603247,1.432530818234467,,2.21960225034275,2.6642901975943194,2.0959122341494805,5.913078536543045,,4.315441498736434,19.966641221124693,,5.557177775225965,1.4152651260907096,3.304914698401398,1.420101263426868,0.21344369783068634,4.899971591751549,2.0994324720388384,2.7427853374301776,1.82847881762689,4.477102067203018,,0.873845119122909,,4.041547659316462,2.3148841940943803,0.8763034017861365,7.39863493106983,8.20465456138213,5.927160092399563
2018,5.574379812498471,2.8517809289351344,6.57284977331047,9.052732421648823,4.033609956352722,6.237226849432577,2.005665688116973,2.19165524667189,,4.046845571033703,0.5784462052249357,0.7658593462155694,,3.0595324935491925,1.8040895360547036,6.247350045043633,,3.2307538893611576,7.990354234853324,5.363130079085536,1.0505156837181233,9.610438344667978,2.2807912813503983,4.7784931005583315,0.5407411112844417,5.350923188486642,,0.333380573724593,0.7946641992443526,2.292877136520375,4.376761267567224,12.202714614588055,4.085658289627966,0.886015555704988,0.8745355901096711,1.418499013626263,4.9856926037824065,2.5898077422353776,1.6835821628827232,6.976314905014073,2.143514297631395,3.272854029273715,1.256336117617658,1.7707616460571223,12.838925842298393,4.814530801269039,3.0603927589652127,4.651596990997653,,10.405714848107083,,4.82833185824287,7.740589506914187,,3.9966299019607843,2.8820469983073576,1.5669491948778562,2.358938698117989,2.5471432845107973,4.398508654974018,1.598868830726271,3.662406342660985,1.5025660866823278,2.576457427421828,13.899070656225472,1.1811348670088053,,,,,4.398491797743326,1.562784006378496,3.3794356826022662,0.5460613311504314,,2.229219325329533,2.6124452305177237,2.097904372254378,5.574557470368063,,4.315619257162496,15.628382898893438,2.296803763116632,5.529953450482047,1.4605385329619318,2.4402016121042815,1.5756440908989344,0.22022109325600187,4.598110953667085,2.2510742587448718,2.916660300272371,1.4590043601142262,4.145342780393141,,,,4.02063006875412,2.454975756905727,0.7378745199584306,7.696132674071689,7.332504361562362,5.765766203436523
2019,5.03038950000894,2.8432759753408523,6.732485618120185,8.025177537119122,4.334779601333082,5.711585093782311,2.7653537643570805,2.70939748435682,,4.1365887569359865,0.5907589152723507,0.8246365563798285,1.3586901463449366,3.1080111884099573,2.567496703889366,6.46879097766487,5.479724134888571,2.3671983390347218,6.449031635471609,4.570492441851477,1.1131555569291018,10.484535060299436,2.2417558886509616,4.944382583993826,,5.301102601102605,,0.30641999071135484,0.8551508252703475,0.5197917526890051,2.744974077859334,12.002155988695623,4.001648159212182,,0.8685580087270411,1.3389185650108728,5.228794330281931,2.5629165898715547,,6.760767806246967,2.1622089194511678,3.0483884209316505,1.405567586080494,1.7186824038302793,6.44836618206243,4.742136129376218,3.4100249031235,3.243733646697593,,9.548817925752449,,3.602086575855516,,,4.3385770234986945,3.097833883230529,1.5476415391397438,2.7984622173050813,2.6846775350310494,3.2613406527469424,2.078218086995613,3.8019458323668016,1.2698211735572484,2.470790586968041,13.26509076861748,1.330487850772107,,,3.0301439611920276,,4.345059114639524,2.560332515983358,3.0876804216326286,0.3095982594014907,,2.2390123755014706,2.5579406725208824,,6.491734011376543,,4.677515380035714,15.459142738186811,2.836540362438222,5.493809395131741,1.754163662581111,2.408187037818414,1.6824758962339537,0.19155663009112847,4.91038141810254,2.6586159390753643,2.9914948143030435,1.5027226494459789,4.535269230616147,,,,4.136297500804363,3.5212638383024055,0.9667789548780246,7.49220172733993,6.811628485300632,5.779052698786731
2020,5.284512888644019,2.6060523068460264,7.396898964057348,7.922319347023358,4.625601099152733,,,,,4.4421511939479545,0.6013295649139537,1.1599652258426887,4.1923133694279295,3.147894483683136,,6.529132600745894,6.03746050526889,2.5179036638794927,6.613879892717545,,0.9260337616947883,,2.4559652495411015,4.601740511311747,,5.028821186572186,,,0.8715721279493498,0.49659888034450894,,12.568842932687847,,,0.8579239728350089,1.122837191349161,,2.717035655523188,,6.7346753651474405,2.3765510548328193,2.9908455302247137,0.40392807982779655,1.5215413392526034,10.383172246117276,,3.782849358198109,2.385234277732228,,,,3.0245563510425524,,,3.398021760633036,4.236996966840186,1.594873953510125,0.6427801989356061,2.541420769123786,,3.4780214993544876,3.8839167166190482,1.5468680454184485,2.5781380268642895,14.200026602619614,1.3952564014979787,,,3.788421774853691,,4.1908748995194545,2.755926304225497,,0.1552315608919382,,2.3466979178512233,,,6.2879299883083615,,4.808040565012672,14.78268155492903,2.9327751159706725,,1.78853010596093,2.5043485156059426,2.0150378825257946,,,2.723161112438764,3.387052447365131,,5.03337338813099,,,,4.072023111646819,3.5746579869748265,1.0285172476206772,8.127588083575864,6.552631641805305,
