"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
"Nicaragua","278","Goods and Services Tax Revenue in Percent of GDP","RTGS_RM_GDP","Source Coverage and Accounting Basis","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash",,,
"Palau","565","Goods and Services Tax Revenue in Percent of GDP","RTGS_RM_GDP","Value",,,,,,,,,,,,,,,,,,,"7.87572526931763","7.5882716178894","8.37311363220215","9.78291893005371","9.7957649230957","10.3510446548462","10.6073274612427","10.6828765869141","10.2480525970459","10.0380153656006","10.9395303726196","9.17627906799316","7.04132890701294",,
"Palau","565","Goods and Services Tax Revenue in Percent of GDP","RTGS_RM_GDP","Source Coverage and Accounting Basis",,,,,,,,,,,,,,,,,,,"GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash",,
"San Marino","135","Social Contributions in Percent of GDP","RS_RM_GDP","Value",,,,,,,,,,,,,"7.76864767074585","7.63552474975586",,,,,,,,,,,,,,,,,,,
"San Marino","135","Social Contributions in Percent of GDP","RS_RM_GDP","Source Coverage and Accounting Basis",,,,,,,,,,,,,"GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash",,,,,,,,,,,,,,,,,,,
"Marshall Islands","867","Property Tax Revenue in Percent of GDP","RTP_RM_GDP","Value",,,,,,,,,,,,,,,,,,,"0.256784200668335","0.263758331537247","0.14965395629406","0.64872282743454","0.176146596670151","0.212878108024597","0.000549045158550143","0.359538495540619","0.318329215049744","0.321982353925705","0.319961845874786","0.298216581344604","0.172786623239517",,
"Marshall Islands","867","Property Tax Revenue in Percent of GDP","RTP_RM_GDP","Source Coverage and Accounting Basis",,,,,,,,,,,,,,,,,,,"GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash",,
"San Marino","135","General Goods and Services Tax Revenue in Percent of GDP","RTGSG_RM_GDP","Value",,,,,,,,,,,,,"5.38044929504395","6.29569149017334","5.8656005859375","6.15039968490601","5.72682619094849","6.00356292724609","6.05243015289307","5.36844158172607","5.04876327514648","4.47211360931396","5.2436203956604","5.18338680267334","4.78559923171997","4.86018133163452","4.25920724868774","3.68639183044434","3.58727478981018","3.30277895927429",,,
"San Marino","135","General Goods and Services Tax Revenue in Percent of GDP","RTGSG_RM_GDP","Source Coverage and Accounting Basis",,,,,,,,,,,,,"GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash",,,
"Venezuela, Rep. Bol.","299","Trade Tax Revenue in Percent of GDP","RTT_RM_GDP","Value","1.60738158226013","1.89302527904511","2.04941129684448","1.90883541107178","1.63582468032837","1.50059473514557","1.35188329219818","1.65696918964386",,,,,,,,,"1.3949419260025","1.67556393146515","1.14991581439972","0.83451110124588","0.800955772399902","1.01717281341553","1.0852302312851","1.00877547264099","1.4310085773468","1.16027247905731","0.748822391033173","0.2979975938797",,,,,
